account,bucket,trades,net_pnl
0x083384f897ee0f19899168e3b1bec365f52a9012,Fear,1878,1234752.931209
0x083384f897ee0f19899168e3b1bec365f52a9012,Greed,1519,233722.60783400002
0x083384f897ee0f19899168e3b1bec365f52a9012,Neutral,421,124348.968632
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,3768,63883.38982855
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Fear,2792,-6533.21317069
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Neutral,720,-12194.69403239
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,10451,137579.0143627
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Fear,1973,-12667.069675402
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Neutral,887,5334.5025002511
0x2c229d22b100a7beb69122eed721cee9b24011dd,Greed,1731,109105.167235
0x2c229d22b100a7beb69122eed721cee9b24011dd,Neutral,1015,41313.301285
0x2c229d22b100a7beb69122eed721cee9b24011dd,Fear,493,15131.339752
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Greed,232,40990.37246516
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Fear,98,4316.810973923
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Neutral,2,8012.789628
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Greed,176,15947.439437
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Fear,159,109025.178135021
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Neutral,48,74265.008071
0x430f09841d65beb3f27765503d0f850b8bce7713,Greed,787,351541.410871
0x430f09841d65beb3f27765503d0f850b8bce7713,Fear,316,5504.819762
0x430f09841d65beb3f27765503d0f850b8bce7713,Neutral,134,58748.634777
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Greed,6548,102861.38059803
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Fear,1315,-4703.088772965901
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Neutral,656,3954.577814754
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Fear,2382,457910.09107
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Greed,1302,115223.73404
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Neutral,672,96587.23313881
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Greed,4780,183211.30880199999
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Fear,1527,46481.240427
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Neutral,1277,38558.853083999995
0x513b8629fe877bb581bf244e326a047b249c4ff1,Fear,6327,257911.659907
0x513b8629fe877bb581bf244e326a047b249c4ff1,Greed,3392,138166.41718389
0x513b8629fe877bb581bf244e326a047b249c4ff1,Neutral,2517,367919.83523342
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Fear,502,3950.8751024576
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Greed,412,103342.49168242
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Neutral,61,1251.01391019
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Fear,820,-25032.200207290003
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Greed,691,452846.92883499997
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Neutral,79,-10.599979000000001
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Greed,715,21502.102541840002
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Fear,652,343296.167194
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Neutral,57,-4540.258551
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,6449,305216.50326132
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Fear,1980,74320.791686
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Neutral,1464,-3037.1473779999997
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Neutral,1430,12219.7618271
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Greed,377,54598.46911774
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Fear,104,-4689.45525742
0x8477e447846c758f5a675856001ea72298fd9cb5,Greed,10790,29478.71125853
0x8477e447846c758f5a675856001ea72298fd9cb5,Neutral,2195,173.06928
0x8477e447846c758f5a675856001ea72298fd9cb5,Fear,2013,10472.685342
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Greed,2748,121421.64149228
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Fear,259,2337.34184145
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Neutral,45,-1.99999899
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Greed,7612,81999.4792636317
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Neutral,5399,8561.5188502641
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Fear,2594,13453.921709
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Greed,364,90532.11329176
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Fear,49,-17821.8091088
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Neutral,4,-53.75791547
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Greed,360,58750.23604639
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Fear,203,8546.65422
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,7532,1629741.36053277
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Fear,3744,99379.36631039
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Neutral,3457,398266.55259402003
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Fear,16917,875250.399017781
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Neutral,4270,56312.148887
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Greed,5,4.552649
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Fear,1568,271288.472897
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Greed,660,36029.687724999996
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Neutral,413,-91572.19725343
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Fear,17980,80567.77447111
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Greed,14061,718152.75483646
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Neutral,8143,24007.12406048
