account,trades,close_trades,gross_pnl,fees,net_pnl,win_rate,avg_trade_usd,median_trade_usd
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,14733,6279,2143382.597689,15995.31825182,2127387.27943718,0.3581755243331297,3837.885375008484,623.3
0x083384f897ee0f19899168e3b1bec365f52a9012,3818,1732,1600229.819979,7405.312304,1592824.507675,0.3596123624934521,16159.57673389209,1348.16
0xbaaaf6571ab7d571043ff1e313a9609a10637864,21192,9997,940163.80622,8596.705666219,931567.100553781,0.4583805209513024,3210.472831257078,595.315
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,40184,22551,836080.553077,13352.89970895,822727.65336805,0.4260153294843719,1844.2118863229146,541.905
0x513b8629fe877bb581bf244e326a047b249c4ff1,12236,5482,840422.555216,76424.64289169,763997.91232431,0.3955541026479242,34396.58028440667,3176.315
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,4356,2233,677747.050643,8025.99239419,669721.05824881,0.48622589531680444,9084.699093204776,1395.1550000000002
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,1590,737,429355.565915,1551.43726629,427804.12864871,0.34591194968553457,7216.667245283019,1001.01
0x430f09841d65beb3f27765503d0f850b8bce7713,1237,599,416541.872341,747.006931,415794.86541,0.48423605497170574,2397.824753435732,646.69
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,9893,8660,379095.406711,2595.25914168,376500.14756932,0.8380673203275043,2600.7780491256444,502.93
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,1424,558,360539.510029,281.49884416,360258.01118484,0.30337078651685395,2080.390077247191,524.405
0x4f93fead39b70a1824f981a54d4e55b278e9f760,7584,2949,308975.869716,40724.467403,268251.402313,0.35627637130801687,17098.171054852322,7755.139999999999
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2641,1177,220519.061853,4773.09848443,215745.96336857,0.32639151836425595,7852.098337750852,1047.88
0x420ab45e0bd8863569a5efbb9c05d91f40624641,383,90,199505.592732,267.967088979,199237.625643021,0.2349869451697128,5189.367127937337,1268.4
0x2c229d22b100a7beb69122eed721cee9b24011dd,3239,2060,168658.004994,3108.196722,165549.808272,0.5180611299783884,3138.894782340228,958.55
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,13311,6772,132464.814554,2218.3673664509,130246.4471875491,0.43415220494328,507.6269326121253,148.31
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,3052,892,126578.942134,2821.95879926,123756.98333474,0.2837483617300131,3601.689298820446,1125.1599999999999
0x6d6a4b953f202f8df5bed40692e7fd865318264a,975,426,108731.216772,186.8360769324,108544.3806950676,0.4297435897435897,746.7256512820513,356.27
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,15605,5561,106302.875256,2287.9554331042,104014.9198228958,0.3456584428067927,1273.1950003204101,536.7
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,8519,3663,103343.716161,1230.8465211819,102112.8696398181,0.3526235473647142,517.5289235825802,332.86
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,417,255,72846.484272,189.93800451,72656.54626749,0.5731414868105515,2066.6892086330936,220.86
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,563,230,67845.619531,548.72926461,67296.89026639,0.40852575488454707,2979.4417761989343,1125.47
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,1911,714,65513.657906,3384.88221858,62128.775687420006,0.3228676085818943,6279.002286760858,1142.77
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,332,158,53496.247243,176.274175917,53319.973067082996,0.4759036144578313,3445.471265060241,1042.145
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,7280,4166,47885.320514,2729.83788853,45155.48262547,0.4403846153846154,1653.2263269230768,462.815
0x8477e447846c758f5a675856001ea72298fd9cb5,14998,6559,43917.008976,3792.54309547,40124.46588053,0.2583011068142419,820.4285131350847,499.94
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,534,230,21758.831753,541.7456094464,21217.0861435536,0.3202247191011236,8330.193370786517,1000.8
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,1559,746,14900.443047,780.21690296,14120.22614404,0.45221295702373315,3748.8675112251444,591.28
0x39cef799f8b69da1995852eea189df24eb5cae3c,3589,1767,14456.919335999997,1458.65712607,12998.262209929999,0.32766787405962666,4790.5754862078575,671.27
0xb899e522b5715391ae1d4f137653e7906c5e2115,4838,2641,22488.500821,28643.173715,-6154.672893999999,0.42786275320380324,22504.555828854896,5333.95
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,815,570,-31203.599986,147.07476338,-31350.67474938,0.3128834355828221,1729.9411042944785,453.96
0x271b280974205ca63b716753467d5a371de622ab,3809,1607,-70436.191318,9280.98285,-79717.174168,0.2803885534260961,8893.000897873459,1116.38
0x8170715b3b381dffb7062c0298972d4727a0a63b,4601,2341,-167621.124781,1579.38545192,-169200.51023292,0.38274288198217776,2204.6855314062163,524.38
